RECORD_NUMBER,CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_SURNAME,CUSTOMER_ADDRESS,CUSTOMER_ZIP_CODE,CUSTOMER_NATIONAL_ID,CUSTOMER_BIRTH_DATE
1,1,17239b6e250110330eda64a29c610bf146f89883371fab093feda03bec61b646,b75b15cfd678ca875b9cfe67fe95ec7c5154a1f25ef13796d49bad89e619f216,"59615 Garza Place, Kennethport, TN 81751",82846,c0c526c04331e289dbcb94e8591d2f3e784b59ea3d7c22a88d03cb7d440bc773,1981-11-19
2,2,c2793b826cc96e7fe5bd695d00af187d2d9b5e4e0bfe7619c041d8f6f4972362,ca38a806c1d7660c2699ed53edcb5a2d1c5ec43b94b8c1c02df975a26429aa20,"77410 Heather Alley Suite 653, Lake Paul, OK 86661",56384,30b726e8e418ae6707ab706d1dcc4e4a64d31198792c1b6adeea8df64064cf5a,1970-06-17
3,3,f79b56140024d7668fa8d7df162c4de35bfda3d225a115e29589195d071081ec,3cbf95bcdbe783dad8de492b6279e0c0dae76eae28f88e943e0e858058b7e750,"818 Burns Motorway Apt. 215, Padillashire, MI 74730",64444,17973d14ed18954b2956f5d26196e6b066bbeb2a01f7493828e5401c27079b7f,1979-04-21
4,4,f79b56140024d7668fa8d7df162c4de35bfda3d225a115e29589195d071081ec,2cbe3208678c94cfde175164ba667a1cf2d4b2d76c1e8e7a2417077ec034207f,"8402 Short Meadow Suite 562, Fosterville, WI 10086",84961,28772e64a26a1657ca79ad99e29ab48ee89b925c40eb194de8f76bd79d250a05,1970-11-24
5,5,c47d6edb98152fe87bdd671364e75a8cd6d911e6b7428fa656ab834a6d3ad411,206b7cc7aab4f2fcf9b1d8eb49942d1f6d4d3aa35026fa071d64e19125208d99,"11826 Harris Glens Apt. 295, Grahamfort, FL 33521",11694,2a4637c81f4e7b9af5bd5df6744f09e37677633e8c73be13d45f4986cd2db29d,1963-06-16
6,6,3183caf91d0b8562e3fbebd45a62e937200a42caf0c9f375ff36f02e2d050cc7,9329691ea9526f3715b9190529b5cfa7af9ea68c9cb21a4f907e56e1f2fd2357,"4597 Jimenez Villages, West Lindsayton, NM 53982",37155,08cffd24e332f8ee477a40839305d1f0861819e6a1f021d3170e97f26fd56760,1992-03-24
7,7,161b5245e4bb6c5fb99407313df9c260dad0e973cc73935572b20913dec08348,0bc6bf0529636f06584ceb015075f372d84bce8df3362c2aa6a7b2144dc560d2,"468 Holland Crossing, North Margaretmouth, NY 60044",53429,c20d617cd0a9acd2fa3036459ac715a7eed47421125e837da1718176b16a3275,1985-07-05
8,8,a6b54c20a7b96eeac1a911e6da3124a560fe6dc042ebf270e3676e7095b95652,7f4a1e5bff2d56e523ee2a34e1c389956986008e506ca77fadf7047d71c6a63f,"377 Amy Underpass Apt. 787, Saratown, NJ 32427",70235,cd8ae47c54d94099053f960eef02654969e7eba7a3fb6c89bbd188f57f9f0d7d,1984-07-12
9,9,79cb79153c08657ed66fe366e7e92fef8dcbc8be1a2e91f7cace938d61dc4b96,00a1fb196513ceec3ad82300f6d3b48279ed7a1e0e1c0106bc835b07e44b4268,"914 Dominguez Passage Suite 927, Lake Daniel, LA 62822",51474,6ad9008d8ac9f7aca87cb815d022c4df58e446b4e8f3657bc17c0fc591e645af,1985-11-16
10,10,a6b54c20a7b96eeac1a911e6da3124a560fe6dc042ebf270e3676e7095b95652,7a04a1c4cfe6d905e1835d08a49b94b329e6ce624a3010973f9a79ff05005e7b,"92990 Valerie Coves, Lake Thomasbury, HI 89313",13199,25328fd453bd2bc4763139dbe7ccb58d8b4280d0ebcc43c47f6079c9288bd79d,1984-12-16
11,11,c7a11e9a55de2b146e3b2d75e9112ee6af4e5b439658e725e6afca92e93bf0bd,7eda9949566709d98d11abf940df33798943ac770388e45781dda9b781e9a47c,"2673 Andrea Land Suite 184, Brockshire, LA 52857",29620,a102a0887128eb57cbd008501cf59e852a1c1f92081bdbff2eed9d267753ee6e,1981-04-10
12,12,d9000b83537c971f01d231f7121b58cf0bb39761663c277d5c7163d4e8a582d6,a77648960d8b715692f65754c07cf7336f9c6bcadc722108e15f37276bcfac2f,"84626 Carter Court Apt. 681, Gonzalesville, AK 79859",72031,2bf527a463a7479702123b3828e64cd16ef76d73aad2625a5020d03693dde495,1996-07-02
13,13,11e442866bb388ae139f156e11b7ae096c7130b693116b5ca2114defdec1ce94,38da0e140f54c340ab76d1af30882cf88d674dc6927babb43a0ecc8e5f159d14,"8405 Smith Stream Suite 198, South Sean, VT 03680",88610,035a348b67e687882381d86741543661aeb2c4c3b99419c1bff263b181b7b55e,1963-01-10
14,14,11e442866bb388ae139f156e11b7ae096c7130b693116b5ca2114defdec1ce94,6e8d8801f51aafe8426f8d95c75de8f3f404ccae62f116070ca643403484a243,"897 Jillian Hollow, Jaclynberg, VT 50388",53853,fb30e565119317a7b4d1f92611a219143074585803874e1bcd56e9607caede0d,1962-11-01
15,15,248715109e6a2d0c23343a5dda82be162326e4715ec69bb8f24755848739d910,9f542590100424c92a6ae40860f7017ac5dfbcff3cb49b36eace29b068e0d8e1,"89335 Jennifer Course Suite 154, Lake Christopherton, UT 01724",32664,774efc3cab8f6143e3210b38c73e8f5e05291db1704ee532b99bb07783c1a318,1992-11-27
16,16,4afe6ea150d532c17693519cac32da104f47073d500d2507272d294d8590d3f8,ca56e098741b5b6f87b4b09d22cdd35a88ccd65e6f769b659faddb360eb941b2,"163 Karen Plain Suite 289, South Yolandaside, NV 02935",86736,098cf47d10bc37eb917326133b5a28e11f11f2dd484efe5526490b17fa26d7bd,1997-06-23
17,17,0c030df5a4e7477d218012c0121ebce6d61bb8dc46e0a6c4f8e1cc8091b946a5,c758089f0833b093bbb4b6e796b9ef373808ddccbcf0c36d0687bf3ff38e53f6,"12793 Gonzalez Orchard, Ballchester, ND 38773",05037,4532f9d1fbd3a337e1e847823438f65c4311ea453ebaeb502204e2176859ca16,1968-01-23
18,18,c43139196d576427b9073922c4da86ff6d0ecff71d1a2c2ad9116ad2a1e8d50d,f90cc5271f9369a5c7e03db142fed59e40a220fa39d9ca889280c9d6ea441377,"13022 Todd Road Suite 128, Lake Sarah, ND 38654",54519,7d4fabd1853b55ce273ab6098148b9de4e9e40ee6a5d0738b0dbf3ed910ad2d1,1987-01-16
19,19,674c1f08fac053e604366eb24f2123568e367479301d4dd14e6109ca85abda1b,c26de706132a7d227c2f049e623b62a81f4c428e853d57b9f98251c9ca5e6613,"527 King Square, New Kimstad, GA 02277",80929,0dfdb80d0546710e74c2ed8e28fd3be63733712aecc40b1de10fb8e6c9237182,1988-05-02
20,20,6132853eb8e76755d5646440abd7a00776a1facfa68e08fee859e454582c0b08,cb6a8da411fe5939f06ba386d1bff95aefdb2516d08a8e558d5114e7a2a54881,"476 Barron Ranch Suite 641, New Teresaburgh, NY 35994",46811,cf1b136f3510e2ee927aaa592db1f79a06ce33e5f8cfc829bf49fc9749ce58b5,1978-01-09
21,21,190eb3ebae2b41124493ac98ac49717fbd290156ca2e0de5f1d5c25a11e89120,d019a9f84883ec7d6fba42a673b6f90fccb0df8b69842a13fbaa31cf6bd8b982,"PSC 2974, Box 8752, APO AA 67653",40065,93776d825dc774c612560b066244715e83059b54544390957daf61a146565664,1994-11-01
22,22,abaa68c541efe0fc9bdc55fedf664487cf572ec27dbeb35223bdb4f8faa2e709,a6acd9b7703a0f0d5b9faec9fdb0f6a77d430643a20f932b6559f443f7da071e,"2278 Ali Neck, South Connorchester, MD 98120",94898,24f479464a69c72755a3793a3dea2115a69f0b7ac3d03d09847412b87227b574,1960-11-22
23,23,1deb0a3b86750d0e4a4c21dc9601736954ae5ccac654c57f3d45563a1f595998,ecdc07467013bf8f08bea175971dc484897f3b277a38a98af714ad2aac4f86fc,"5877 Barker Camp Suite 361, Erintown, NC 38781",88193,b59a83f89c6ee864dcd6dd2228b96ebf5db087ca340b49442eb9bfee24bf32e3,1987-04-23
24,24,c10873196eb1124ed74461c20a67094e395f2310f6305607b9694ee6b1ee8b43,486580d1266632cd6b5fcce6c94eefc26f7c6ebecb123971edc0c705f883eea2,"78001 Annette Springs, Youngmouth, VA 35935",33902,1f53fbda892511cf45124aa97a4a24f991b3f9fac657cafe44920be30787e4ac,1979-09-20
25,25,3e03e23ba7e9a72b118f799664238a9c8ce7fdd3ffb16caf36cc67b89654e903,be1f12c19438b5a4553c255be59d279d44b2ef4b10dd71d25c46a35df0842a04,"5015 Julie Corner, East Michelle, WV 35915",66531,d34941843f49da9410603e5ac919732757efe552841721887fb321e760edada7,1987-03-20
26,26,3090ad7f5b83a40b050aad6e04d2f663049aca5cf0253e1b2ff592fcfed3ef9c,bfb3c68f9e9d9bcaa7b655902b461ecae07ab819c2415c1c15e17244bee3774d,"325 Rhonda Path Suite 023, Moorechester, NY 82679",25199,e60e7129aede1f785452a63a8a7cb27087b4a50cb396071e04227f04d98e8fe3,1973-10-03
